,CPU 제조사,CPU 넘버,메모리 타입,메모리 용량,SSD 형태,SSD 용량,그래픽 칩셋,그래픽 메모리,운영체제,CPU Score,GPU Score,용도,최저가,제품명,제품 코드,그래픽 제조사,저장장치1,저장장치2,저장장치1 크기,저장장치2 크기
0,1,i5-10400F,DDR4,16,SSD,256GB,GeforceGTX1660SUPER,Geforce GTX 1660 SUPER 6GB,0,12370,12770,1,758320,다나와표준PC 게임용 210611,14351177,1,SSD,SSD,256,0
1,1,i5-12400,DDR4,8,SSD,500GB,UHDGraphics730,UHD Graphics 730 ,0,19524,1644,0,642750,다나와표준PC 온라인강의용 220208,16304876,0,SSD,SSD,500,0
2,1,i5-12400F,DDR4,16,M.2,500GB,GeforceRTX3060,Geforce RTX 3060 12GB,0,19804,17071,1,1182020,다나와표준PC 게임용 220616,17179445,1,M.2,M.2,500,0
3,1,i5-12400F,DDR4,16,M.2,512GB,GeforceRTX3060,Geforce RTX 3060 12GB,1,19804,17071,1,1298970,HP 빅터스 TG02-0020kr,16969496,1,M.2,M.2,512,0
4,0,5600G,DDR4,16,M.2,250GB,5600G,5600G  ,0,19836,2580,0,447072,한성컴퓨터 프리워커 F5600,17617910,0,M.2,M.2,250,0
5,0,5600G,DDR4,16,SSD,240GB,5600G,5600G  ,0,19836,2580,0,508710,다나와표준PC 게임용 211009,15354266,0,SSD,SSD,240,0
6,1,i5-12400F,DDR4,16,M.2,512GB,GeforceRTX3060,Geforce RTX 3060 12GB,0,19804,17071,1,1305650,이엠텍 레드빗 PRO - I5M51,17200724,1,M.2,M.2,512,0
7,0,5600,DDR4,16,M.2,500GB,GeforceRTX3050,Geforce RTX 3050 8GB,0,2818,12707,1,998290,다나와표준PC 게임용 220913,17772782,1,M.2,M.2,500,0
8,1,i5-12400,DDR4,8,M.2,256GB,UHDGraphics730,UHD Graphics 730 ,1,19524,1644,0,809000,삼성전자 데스크탑5 DM500TEA-A58A,17435873,0,M.2,M.2,256,0
9,1,i5-12400,DDR4,8,SSD,1TB,UHDGraphics730,UHD Graphics 730 ,1,19524,1644,0,935000,삼성전자 데스크탑5 DM500TEA-A58A,17685296,0,SSD,SSD,1000.0,0
10,1,i5-12400,DDR4,8,SSD,512GB,UHDGraphics730,UHD Graphics 730 ,1,19524,1644,0,867000,삼성전자 데스크탑5 DM500TEA-A58A,17685230,0,SSD,SSD,512,0
11,0,5600X,DDR4,16,M.2,256GB,GeforceRTX3060,Geforce RTX 3060 12GB,0,21959,17071,1,989990,영웅컴퓨터 영웅 875 게이밍울트라560X,13546484,1,M.2,M.2,256,0
12,1,i5-12400F,DDR4,16,M.2,500GB,GeforceRTX3060,Geforce RTX 3060 12GB,0,19804,17071,1,1118510,포유컴퓨터 샵다나와 게이밍 SHOP 19,14645990,1,M.2,M.2,500,0
13,0,4650G,DDR4,8,SSD,250GB,4650G,4650G  ,0,16323,2370,0,371420,프리플로우 ELITE 홈오피스 R5,16861505,0,SSD,SSD,250,0
14,0,5600G,DDR4,8,M.2,256GB,5600G,5600G  ,1,19836,2580,0,678990,HP 파빌리온 TP01-2023KL WIN10,14809187,0,M.2,M.2,256,0
15,0,5600G,DDR4,8,M.2,512GB,5600G,5600G  ,1,19836,2580,0,718990,HP 파빌리온 TP01-2023KL WIN10,14809265,0,M.2,M.2,512,0
16,0,5600G,DDR4,8,M.2,1TB,5600G,5600G  ,1,19836,2580,0,758990,HP 파빌리온 TP01-2023KL WIN10,15634688,0,M.2,M.2,1000.0,0
17,0,5600G,DDR4,8,M.2,256GB,5600G,5600G  ,1,19836,2580,0,728990,HP 파빌리온 TP01-2023KL WIN10,15634679,0,M.2,M.2,256,0
18,0,5600G,DDR4,16,M.2,256GB,5600G,5600G  ,1,19836,2580,0,709000,HP 파빌리온 TP01-2023KL WIN10,15634712,0,M.2,M.2,256,0
19,0,5600G,DDR4,16,M.2,512GB,5600G,5600G  ,1,19836,2580,0,721310,HP 파빌리온 TP01-2023KL WIN10,15634760,0,M.2,M.2,512,0
20,0,5600G,DDR4,16,M.2,1TB,5600G,5600G  ,1,19836,2580,0,798990,HP 파빌리온 TP01-2023KL WIN10,15634799,0,M.2,M.2,1000.0,0
21,0,5600G,DDR4,16,M.2,256GB,5600G,5600G  ,1,19836,2580,0,759000,HP 파빌리온 TP01-2023KL WIN10,15634775,0,M.2,M.2,256,0
22,0,5600G,DDR4,16,M.2,512GB,GeforceRTX3060,Geforce RTX 3060 12GB,0,19836,17071,1,1238320,레노버 LEGION T5 26AMR5 R5 3060,17291510,1,M.2,M.2,512,0
23,0,5600G,DDR4,16,M.2,1TB,GeforceRTX3060,Geforce RTX 3060 12GB,0,19836,17071,1,1268990,레노버 LEGION T5 26AMR5 R5 3060,17451788,1,M.2,M.2,1000.0,0
24,0,5600G,DDR4,16,M.2,2TB,GeforceRTX3060,Geforce RTX 3060 12GB,0,19836,17071,1,1448990,레노버 LEGION T5 26AMR5 R5 3060,17451887,1,M.2,M.2,2000.0,0
25,0,5600G,DDR4,32,M.2,512GB,GeforceRTX3060,Geforce RTX 3060 12GB,0,19836,17071,1,1298990,레노버 LEGION T5 26AMR5 R5 3060,17451710,1,M.2,M.2,512,0
26,0,5600G,DDR4,32,M.2,1TB,GeforceRTX3060,Geforce RTX 3060 12GB,0,19836,17071,1,1378990,레노버 LEGION T5 26AMR5 R5 3060,17962514,1,M.2,M.2,1000.0,0
27,0,5600G,DDR4,32,M.2,2TB,GeforceRTX3060,Geforce RTX 3060 12GB,0,19836,17071,1,1568990,레노버 LEGION T5 26AMR5 R5 3060,17962493,1,M.2,M.2,2000.0,0
28,0,5600G,DDR4,64,M.2,512GB,GeforceRTX3060,Geforce RTX 3060 12GB,0,19836,17071,1,1548990,레노버 LEGION T5 26AMR5 R5 3060,17451875,1,M.2,M.2,512,0
29,0,5600G,DDR4,64,M.2,1TB,GeforceRTX3060,Geforce RTX 3060 12GB,0,19836,17071,1,1618990,레노버 LEGION T5 26AMR5 R5 3060,17962502,1,M.2,M.2,1000.0,0
30,0,5600G,DDR4,64,M.2,2TB,GeforceRTX3060,Geforce RTX 3060 12GB,0,19836,17071,1,1798990,레노버 LEGION T5 26AMR5 R5 3060,17962508,1,M.2,M.2,2000.0,0
31,0,5600G,DDR4,16,M.2,512GB,GeforceRTX3060,Geforce RTX 3060 12GB,0,19836,17071,1,1487350,레노버 LEGION T5 26AMR5 R5 3060,17451728,1,M.2,M.2,512,0
32,1,i3-12100,DDR4,8,SSD,250GB,UHDGraphics730,UHD Graphics 730 ,0,14328,1644,0,498580,다나와표준PC 온라인강의용 220606,17177609,0,SSD,SSD,250,0
33,1,i5-1240P,DDR5,8,M.2,256GB,IrisXeGraphics,Iris Xe Graphics ,1,17554,0,0,1369180,LG전자 27V70Q-GR50K,17332613,0,M.2,M.2,256,0
34,1,i5-1240P,DDR5,8,M.2,512GB,IrisXeGraphics,Iris Xe Graphics ,1,17554,0,0,1384270,LG전자 27V70Q-GR50K,17692580,0,M.2,M.2,512,0
35,1,i5-1240P,DDR5,8,M.2,1TB,IrisXeGraphics,Iris Xe Graphics ,1,17554,0,0,1415040,LG전자 27V70Q-GR50K,17692634,0,M.2,M.2,1000.0,0
36,1,i5-1240P,DDR5,8,M.2,2TB,IrisXeGraphics,Iris Xe Graphics ,1,17554,0,0,1613930,LG전자 27V70Q-GR50K,17692661,0,M.2,M.2,2000.0,0
37,1,i5-1240P,DDR5,16,M.2,256GB,IrisXeGraphics,Iris Xe Graphics ,1,17554,0,0,1386630,LG전자 27V70Q-GR50K,17692697,0,M.2,M.2,256,0
38,1,i5-1240P,DDR5,16,M.2,512GB,IrisXeGraphics,Iris Xe Graphics ,1,17554,0,0,1426690,LG전자 27V70Q-GR50K,17692733,0,M.2,M.2,512,0
39,1,i5-1240P,DDR5,16,M.2,1TB,IrisXeGraphics,Iris Xe Graphics ,1,17554,0,0,1487450,LG전자 27V70Q-GR50K,17692766,0,M.2,M.2,1000.0,0
40,1,i5-1240P,DDR5,16,M.2,2TB,IrisXeGraphics,Iris Xe Graphics ,1,17554,0,0,1687950,LG전자 27V70Q-GR50K,17692811,0,M.2,M.2,2000.0,0
41,1,i5-1240P,DDR5,32,M.2,256GB,IrisXeGraphics,Iris Xe Graphics ,1,17554,0,0,1561140,LG전자 27V70Q-GR50K,17692850,0,M.2,M.2,256,0
42,1,i5-1240P,DDR5,32,M.2,512GB,IrisXeGraphics,Iris Xe Graphics ,1,17554,0,0,1608330,LG전자 27V70Q-GR50K,17692883,0,M.2,M.2,512,0
43,1,i5-1240P,DDR5,32,M.2,1TB,IrisXeGraphics,Iris Xe Graphics ,1,17554,0,0,1663000,LG전자 27V70Q-GR50K,17692919,0,M.2,M.2,1000.0,0
44,1,i5-1240P,DDR5,32,M.2,2TB,IrisXeGraphics,Iris Xe Graphics ,1,17554,0,0,1790110,LG전자 27V70Q-GR50K,17692952,0,M.2,M.2,2000.0,0
45,1,i7-12700K,DDR4,16,M.2,500GB,GeforceRTX3060,Geforce RTX 3060 12GB,0,34667,17071,1,1606150,다나와표준PC 전문가용 220227,16304933,1,M.2,M.2,500,0
46,1,i5-12400F,DDR4,16,M.2,500GB,GeforceRTX3060,Geforce RTX 3060 12GB,0,19804,17071,1,1179000,한성컴퓨터 TFG MX4i560,17134169,1,M.2,M.2,500,0
47,1,i5-12400F,DDR4,16,M.2,500GB,GeforceRTX3060Ti,Geforce RTX 3060 Ti 8GB,0,19804,20406,1,1479000,프리플로우 ULTRA GAMING i5 D6 12th,16153742,1,M.2,M.2,500,0
48,1,i7-11700T,DDR4,16,M.2,512GB,GeforceGTX1660Ti,Geforce GTX 1660 Ti 6GB,0,15754,11873,1,1378990,HP 엘리트데스크 800 G8 Mini i7-11700T GTX1660Ti FD,15214559,1,M.2,M.2,512,0
49,0,5600G,DDR4,8,M.2,250GB,5600G,5600G  ,0,19836,2580,0,531990,ASRock DeskMini X300 5600G 120W M.2 대원씨티에스,17599070,0,M.2,M.2,250,0
50,0,5600G,DDR4,8,M.2,500GB,5600G,5600G  ,0,19836,2580,0,552990,ASRock DeskMini X300 5600G 120W M.2 대원씨티에스,17599088,0,M.2,M.2,500,0
51,0,5600G,DDR4,8,M.2,1TB,5600G,5600G  ,0,19836,2580,0,599890,ASRock DeskMini X300 5600G 120W M.2 대원씨티에스,17599136,0,M.2,M.2,1000.0,0
52,0,5600G,DDR4,16,M.2,500GB,5600G,5600G  ,0,19836,2580,0,585990,ASRock DeskMini X300 5600G 120W M.2 대원씨티에스,17599160,0,M.2,M.2,500,0
53,0,5600G,DDR4,16,M.2,1TB,5600G,5600G  ,0,19836,2580,0,632990,ASRock DeskMini X300 5600G 120W M.2 대원씨티에스,17599187,0,M.2,M.2,1000.0,0
54,1,i9-12900K,DDR5,64,M.2,2TB,GeforceRTX3080Ti,Geforce RTX 3080 Ti 12GB,1,41519,27299,1,6779990,MSI MEG 이지스 Ti 5 12TF-018KR,16942718,1,M.2,M.2,2000.0,0
55,1,i5-12400F,DDR4,16,M.2,512GB,GeforceRTX3060Ti,Geforce RTX 3060 Ti 8GB,0,19804,20406,1,1242300,한성컴퓨터 TFG AX12506iG,17391191,1,M.2,M.2,512,0
56,1,i7-13700KF,DDR5,16,M.2,500GB,GeforceRTX4090,Geforce RTX 4090 24GB,0,46465,37940,1,4388990,프리플로우 ULTIMATE GAMING i7 D9 i7-13700KF,18095504,1,M.2,M.2,500,0
57,1,i9-13900K,DDR4,32,M.2,1TB,GeforceRTX4090,Geforce RTX 4090 24GB,0,58745,37940,1,5920000,몬스타 몬스타기어 게놈13,18074702,1,M.2,M.2,1000.0,0
58,1,N4505,DDR4,4,eMMC,128GB,UHDGraphics,UHD Graphics ,1,2367,1521,0,417880,ASUS MiniPC PN41-BC004ZV Win10Pro,15555353,0,eMMC,eMMC,128,0
59,1,N4505,DDR4,8,eMMC,128GB,UHDGraphics,UHD Graphics ,1,2367,1521,0,439990,ASUS MiniPC PN41-BC004ZV Win10Pro,15556112,0,eMMC,eMMC,128,0
60,1,N4505,DDR4,16,eMMC,128GB,UHDGraphics,UHD Graphics ,1,2367,1521,0,521890,ASUS MiniPC PN41-BC004ZV Win10Pro,15556904,0,eMMC,eMMC,128,0
61,1,i7-12700,DDR5,32,M.2,1TB,GeforceRTX3060,Geforce RTX 3060 6GB,1,31337,17071,1,3349000,HP 엔비 34-c1000kr,17708273,1,M.2,M.2,1000.0,0
62,1,i7-12700F,DDR4,16,M.2,512GB,GeforceRTX3060Ti,Geforce RTX 3060 Ti 8GB,1,31455,20406,1,1647500,HP 빅터스 TG02-0004kr,16701062,1,M.2,M.2,512,0
63,1,i7-12700F,DDR4,16,M.2,1TB,GeforceRTX3060Ti,Geforce RTX 3060 Ti 8GB,1,31455,20406,1,1748770,HP 빅터스 TG02-0004kr,16718768,1,M.2,M.2,1000.0,0
64,1,i7-12700F,DDR4,16,M.2,2TB,GeforceRTX3060Ti,Geforce RTX 3060 Ti 8GB,1,31455,20406,1,1918730,HP 빅터스 TG02-0004kr,16718942,1,M.2,M.2,2000.0,0
65,1,i7-12700F,DDR4,32,M.2,512GB,GeforceRTX3060Ti,Geforce RTX 3060 Ti 8GB,1,31455,20406,1,1758720,HP 빅터스 TG02-0004kr,16718888,1,M.2,M.2,512,0
66,1,i7-12700F,DDR4,32,M.2,1TB,GeforceRTX3060Ti,Geforce RTX 3060 Ti 8GB,1,31455,20406,1,1848730,HP 빅터스 TG02-0004kr,16718996,1,M.2,M.2,1000.0,0
67,1,i7-12700F,DDR4,32,M.2,2TB,GeforceRTX3060Ti,Geforce RTX 3060 Ti 8GB,1,31455,20406,1,2018790,HP 빅터스 TG02-0004kr,16719041,1,M.2,M.2,2000.0,0
68,1,i7-12700F,DDR4,16,M.2,512GB,GeforceRTX3060Ti,Geforce RTX 3060 Ti 8GB,1,31455,20406,1,1718720,HP 빅터스 TG02-0004kr,16718726,1,M.2,M.2,512,0
69,1,i7-12700F,DDR4,32,M.2,512GB,GeforceRTX3060Ti,Geforce RTX 3060 Ti 8GB,1,31455,20406,1,1828770,HP 빅터스 TG02-0004kr,16718960,1,M.2,M.2,512,0
70,1,i7-10700,DDR4,16,M.2,512GB,UHDGraphics630,UHD Graphics 630 ,1,16798,1279,0,1166060,삼성전자 데스크탑5 DM500TCZ-AD7A-R2,12549179,0,M.2,M.2,512,0
71,1,i5-10400,DDR4,4,M.2,128GB,UHDGraphics630,UHD Graphics 630 ,0,12309,1279,0,535720,ECS LIVA ONE H410 i5-10400 120W M.2 코잇,13007306,0,M.2,M.2,128,0
72,1,i5-10400,DDR4,8,M.2,128GB,UHDGraphics630,UHD Graphics 630 ,0,12309,1279,0,551720,ECS LIVA ONE H410 i5-10400 120W M.2 코잇,13007339,0,M.2,M.2,128,0
73,1,i5-10400,DDR4,8,M.2,256GB,UHDGraphics630,UHD Graphics 630 ,0,12309,1279,0,563990,ECS LIVA ONE H410 i5-10400 120W M.2 코잇,17703020,0,M.2,M.2,256,0
74,1,i5-10400,DDR4,8,M.2,512GB,UHDGraphics630,UHD Graphics 630 ,0,12309,1279,0,594930,ECS LIVA ONE H410 i5-10400 120W M.2 코잇,17703095,0,M.2,M.2,512,0
75,1,i5-10400,DDR4,16,M.2,256GB,UHDGraphics630,UHD Graphics 630 ,0,12309,1279,0,614760,ECS LIVA ONE H410 i5-10400 120W M.2 코잇,13007348,0,M.2,M.2,256,0
76,1,i5-10400,DDR4,16,M.2,512GB,UHDGraphics630,UHD Graphics 630 ,0,12309,1279,0,646990,ECS LIVA ONE H410 i5-10400 120W M.2 코잇,13007357,0,M.2,M.2,512,0
77,1,i5-10400,DDR4,16,M.2,1TB,UHDGraphics630,UHD Graphics 630 ,0,12309,1279,0,706720,ECS LIVA ONE H410 i5-10400 120W M.2 코잇,13007369,0,M.2,M.2,1000.0,0
78,1,i5-10400,DDR4,32,M.2,256GB,UHDGraphics630,UHD Graphics 630 ,0,12309,1279,0,709990,ECS LIVA ONE H410 i5-10400 120W M.2 코잇,13007384,0,M.2,M.2,256,0
79,1,i5-10400,DDR4,32,M.2,512GB,UHDGraphics630,UHD Graphics 630 ,0,12309,1279,0,986990,ECS LIVA ONE H410 i5-10400 120W M.2 코잇,17013323,0,M.2,M.2,512,0
80,1,i5-10400,DDR4,8,M.2,128GB,UHDGraphics630,UHD Graphics 630 ,0,12309,1279,0,613990,ECS LIVA ONE H410 i5-10400 120W M.2 코잇,13007399,0,M.2,M.2,128,0
81,1,i5-10400,DDR4,16,M.2,256GB,UHDGraphics630,UHD Graphics 630 ,0,12309,1279,0,670990,ECS LIVA ONE H410 i5-10400 120W M.2 코잇,13007417,0,M.2,M.2,256,0
82,1,i5-10400,DDR4,16,M.2,256GB,UHDGraphics630,UHD Graphics 630 ,0,12309,1279,0,680310,ECS LIVA ONE H410 i5-10400 120W M.2 코잇,17703107,0,M.2,M.2,256,0
83,1,i5-10400,DDR4,32,M.2,256GB,UHDGraphics630,UHD Graphics 630 ,0,12309,1279,0,804990,ECS LIVA ONE H410 i5-10400 120W M.2 코잇,13007423,0,M.2,M.2,256,0
84,1,i5-10400,DDR4,32,M.2,512GB,UHDGraphics630,UHD Graphics 630 ,0,12309,1279,0,835990,ECS LIVA ONE H410 i5-10400 120W M.2 코잇,13007462,0,M.2,M.2,512,0
85,1,J4025,DDR4,4,eMMC,64GB,UHDGraphics600,UHD Graphics 600 ,1,1695,326,0,368950,ASUS MiniPC PN40 J4025 White Win10 Pro,12635321,0,eMMC,eMMC,64,0
86,1,J4025,DDR4,4,eMMC,64GB,UHDGraphics600,UHD Graphics 600 ,1,1695,326,0,431060,ASUS MiniPC PN40 J4025 White Win10 Pro,12635408,0,eMMC,eMMC,64,0
87,1,J4025,DDR4,8,eMMC,64GB,UHDGraphics600,UHD Graphics 600 ,1,1695,326,0,393230,ASUS MiniPC PN40 J4025 White Win10 Pro,12635345,0,eMMC,eMMC,64,0
88,1,J4025,DDR4,8,eMMC,64GB,UHDGraphics600,UHD Graphics 600 ,1,1695,326,0,453880,ASUS MiniPC PN40 J4025 White Win10 Pro,12635492,0,eMMC,eMMC,64,0
89,1,J4025,DDR4,8,eMMC,64GB,UHDGraphics600,UHD Graphics 600 ,1,1695,326,0,475650,ASUS MiniPC PN40 J4025 White Win10 Pro,13532159,0,eMMC,eMMC,64,0
90,0,5600G,DDR4,16,M.2,500GB,5600G,5600G  ,0,19836,2580,0,588850,다나와표준PC 게임용 220509,16958033,0,M.2,M.2,500,0
91,1,i9-12900,DDR5,32,M.2,1TB,UHDGraphics770,UHD Graphics 770 ,1,36085,2496,0,2000810,HP 엘리트 타워 800 G9 TWR i9P5,17662847,0,M.2,M.2,1000.0,0
92,0,5600X,DDR4,16,M.2,500GB,GeforceRTX3070,Geforce RTX 3070 8GB,0,21959,22296,1,1366300,한성컴퓨터 TFG AX5507A,16784387,1,M.2,M.2,500,0
93,1,J4025,DDR4,4,eMMC,64GB,UHDGraphics600,UHD Graphics 600 ,1,1695,326,0,357930,ASUS MiniPC PN40-BC905ZV J4025 Win10 Pro,12165779,0,eMMC,eMMC,64,0
94,1,J4025,DDR4,8,eMMC,64GB,UHDGraphics600,UHD Graphics 600 ,1,1695,326,0,388000,ASUS MiniPC PN40-BC905ZV J4025 Win10 Pro,12165818,0,eMMC,eMMC,64,0
95,1,G7400,DDR4,4,M.2,128GB,UHDGraphics710,UHD Graphics 710 ,1,6749,1101,0,466650,삼성전자 데스크탑5 DM500SEA-A24A,17605643,0,M.2,M.2,128,0
96,1,i7-12700K,DDR4,16,M.2,500GB,GeforceRTX3070Ti,Geforce RTX 3070 Ti 8GB,0,34667,23611,1,2109950,다나와표준PC 게임용 220320,16500404,1,M.2,M.2,500,0
97,1,i5-12400F,DDR4,16,M.2,500GB,RadeonRX6500XT,Radeon RX 6500 XT 8GB,0,19804,9287,1,905230,다나와표준PC 게임용 220413,16739600,0,M.2,M.2,500,0
98,1,i7-12700T,DDR4,16,M.2,512GB,GeforceRTX3050,Geforce RTX 3050 4GB,1,22645,12707,1,1938890,HP 파빌리온 27-ca1012kr All in One,16979150,1,M.2,M.2,512,0
99,1,i7-12700T,DDR4,32,M.2,512GB,GeforceRTX3050,Geforce RTX 3050 4GB,1,22645,12707,1,2078890,HP 파빌리온 27-ca1012kr All in One,17006702,1,M.2,M.2,512,0
100,1,i5-12400F,DDR4,16,M.2,500GB,GeforceRTX3070Ti,Geforce RTX 3070 Ti 8GB,0,19804,23611,1,1569000,한성컴퓨터 TFG MX4i570i,17134562,1,M.2,M.2,500,0
101,1,G7400,DDR4,8,SSD,256GB,UHDGraphics710,UHD Graphics 710 ,0,6749,1101,0,380470,다나와표준PC 홈/오피스용 220703,17376245,0,SSD,SSD,256,0
102,1,i5-12400F,DDR4,16,M.2,500GB,GeforceRTX3070,Geforce RTX 3070 8GB,0,19804,22296,1,1479000,한성컴퓨터 TFG MX4i570,17134466,1,M.2,M.2,500,0
103,0,5600X,DDR4,16,M.2,512GB,GeforceRTX3060,Geforce RTX 3060 12GB,0,21959,17071,1,989780,영웅컴퓨터 영웅 게이밍AD 021,17274707,1,M.2,M.2,512,0
106,1,i5-1240P,DDR5,8,M.2,256GB,IrisXeGraphics,Iris Xe Graphics ,1,17554,0,0,1119190,LG전자 24V70Q-GR50K,17332802,0,M.2,M.2,256,0
107,1,i5-1240P,DDR5,8,SSD,512GB,IrisXeGraphics,Iris Xe Graphics ,1,17554,0,0,1165780,LG전자 24V70Q-GR50K,17616872,0,SSD,SSD,512,0
108,1,i5-1240P,DDR5,8,SSD,1TB,IrisXeGraphics,Iris Xe Graphics ,1,17554,0,0,1203390,LG전자 24V70Q-GR50K,17617010,0,SSD,SSD,1000.0,0
109,1,i5-1240P,DDR5,8,M.2,2TB,IrisXeGraphics,Iris Xe Graphics ,1,17554,0,0,1360750,LG전자 24V70Q-GR50K,17697164,0,M.2,M.2,2000.0,0
110,1,i5-1240P,DDR5,16,M.2,256GB,IrisXeGraphics,Iris Xe Graphics ,1,17554,0,0,1178450,LG전자 24V70Q-GR50K,17697206,0,M.2,M.2,256,0
111,1,i5-1240P,DDR5,16,M.2,512GB,IrisXeGraphics,Iris Xe Graphics ,1,17554,0,0,1213370,LG전자 24V70Q-GR50K,17697242,0,M.2,M.2,512,0
112,1,i5-1240P,DDR5,16,M.2,1TB,IrisXeGraphics,Iris Xe Graphics ,1,17554,0,0,1276610,LG전자 24V70Q-GR50K,17697266,0,M.2,M.2,1000.0,0
113,1,i5-1240P,DDR5,16,M.2,2TB,IrisXeGraphics,Iris Xe Graphics ,1,17554,0,0,1432650,LG전자 24V70Q-GR50K,17697287,0,M.2,M.2,2000.0,0
114,1,i5-1240P,DDR5,32,M.2,256GB,IrisXeGraphics,Iris Xe Graphics ,1,17554,0,0,1332740,LG전자 24V70Q-GR50K,17697365,0,M.2,M.2,256,0
115,1,i5-1240P,DDR5,32,M.2,512GB,IrisXeGraphics,Iris Xe Graphics ,1,17554,0,0,1369440,LG전자 24V70Q-GR50K,17697410,0,M.2,M.2,512,0
116,1,i5-1240P,DDR5,32,M.2,1TB,IrisXeGraphics,Iris Xe Graphics ,1,17554,0,0,1424040,LG전자 24V70Q-GR50K,17697455,0,M.2,M.2,1000.0,0
117,1,i5-1240P,DDR5,32,M.2,2TB,IrisXeGraphics,Iris Xe Graphics ,1,17554,0,0,1551440,LG전자 24V70Q-GR50K,17697554,0,M.2,M.2,2000.0,0
118,1,i3-12100,DDR4,8,M.2,256GB,UHDGraphics730,UHD Graphics 730 ,1,14328,1644,0,779000,삼성전자 데스크탑5 DM500TEA-A38A,17588846,0,M.2,M.2,256,0
119,1,i3-10110U,DDR4,8,M.2,256GB,UHDGraphics,UHD Graphics ,1,3974,1521,0,896700,LG전자 27V70N-GR3SK,16203071,0,M.2,M.2,256,0
120,1,i3-10110U,DDR4,8,M.2,512GB,UHDGraphics,UHD Graphics ,1,3974,1521,0,1088860,LG전자 27V70N-GR3SK,17410559,0,M.2,M.2,512,0
121,1,i3-10110U,DDR4,8,M.2,1TB,UHDGraphics,UHD Graphics ,1,3974,1521,0,1178350,LG전자 27V70N-GR3SK,17410583,0,M.2,M.2,1000.0,0
122,1,i3-10110U,DDR4,16,M.2,256GB,UHDGraphics,UHD Graphics ,1,3974,1521,0,1088700,LG전자 27V70N-GR3SK,17410571,0,M.2,M.2,256,0
123,1,i3-10110U,DDR4,16,M.2,512GB,UHDGraphics,UHD Graphics ,1,3974,1521,0,1120890,LG전자 27V70N-GR3SK,17410565,0,M.2,M.2,512,0
124,1,i3-10110U,DDR4,16,M.2,1TB,UHDGraphics,UHD Graphics ,1,3974,1521,0,1204780,LG전자 27V70N-GR3SK,17410586,0,M.2,M.2,1000.0,0
125,1,i3-10110U,DDR4,8,M.2,256GB,UHDGraphics,UHD Graphics ,1,3974,1521,0,1088760,LG전자 27V70N-GR3SK,17410589,0,M.2,M.2,256,0
126,1,i3-10110U,DDR4,8,M.2,256GB,UHDGraphics,UHD Graphics ,1,3974,1521,0,1118990,LG전자 27V70N-GR3SK,17410610,0,M.2,M.2,256,0
127,1,i7-1165G7,DDR4,8,M.2,512GB,IrisXeGraphics,Iris Xe Graphics ,1,10488,0,0,1190000,삼성전자 올인원PC DM530ADA-L78A,16773131,0,M.2,M.2,512,0
128,1,i7-1165G7,DDR4,8,M.2,1TB,IrisXeGraphics,Iris Xe Graphics ,1,10488,0,0,1290000,삼성전자 올인원PC DM530ADA-L78A,16773218,0,M.2,M.2,1000.0,0
129,1,i7-1165G7,DDR4,8,M.2,512GB,IrisXeGraphics,Iris Xe Graphics ,1,10488,0,0,1250000,삼성전자 올인원PC DM530ADA-L78A,16773212,0,M.2,M.2,512,0
130,1,i7-1165G7,DDR4,16,M.2,512GB,IrisXeGraphics,Iris Xe Graphics ,1,10488,0,0,1210000,삼성전자 올인원PC DM530ADA-L78A,16773155,0,M.2,M.2,512,0
131,1,i7-1165G7,DDR4,16,M.2,1TB,IrisXeGraphics,Iris Xe Graphics ,1,10488,0,0,1320000,삼성전자 올인원PC DM530ADA-L78A,16878596,0,M.2,M.2,1000.0,0
132,1,i7-1165G7,DDR4,16,M.2,512GB,IrisXeGraphics,Iris Xe Graphics ,1,10488,0,0,1280000,삼성전자 올인원PC DM530ADA-L78A,16773170,0,M.2,M.2,512,0
133,1,i7-1165G7,DDR4,16,M.2,512GB,IrisXeGraphics,Iris Xe Graphics ,1,10488,0,0,1310000,삼성전자 올인원PC DM530ADA-L78A,16918754,0,M.2,M.2,512,0
134,0,5600X,DDR4,16,M.2,1TB,GeforceGTX1650,Geforce GTX 1650 4GB,0,21959,7820,1,939560,다나와표준PC 전문가용 211125,15574292,1,M.2,M.2,1000.0,0
135,1,i7-1260P,DDR5,8,M.2,256GB,IrisXeGraphics,Iris Xe Graphics ,1,17025,0,0,1560350,LG전자 27V70Q-GA70K,17332517,0,M.2,M.2,256,0
136,1,i7-1260P,DDR5,8,SSD,512GB,IrisXeGraphics,Iris Xe Graphics ,1,17025,0,0,1700240,LG전자 27V70Q-GA70K,17614952,0,SSD,SSD,512,0
137,1,i7-1260P,DDR5,8,SSD,1TB,IrisXeGraphics,Iris Xe Graphics ,1,17025,0,0,1690400,LG전자 27V70Q-GA70K,17615084,0,SSD,SSD,1000.0,0
138,1,i7-1260P,DDR5,8,M.2,2TB,IrisXeGraphics,Iris Xe Graphics ,1,17025,0,0,1835260,LG전자 27V70Q-GA70K,17726657,0,M.2,M.2,2000.0,0
139,1,i7-1260P,DDR5,16,M.2,256GB,IrisXeGraphics,Iris Xe Graphics ,1,17025,0,0,1710500,LG전자 27V70Q-GA70K,17726714,0,M.2,M.2,256,0
